"x" "y" "condition"
"173" -2876.8848 -3978.1445 1
"174" -2899.59825 -4023.5085 1
"175" -2895.53815 -4012.867 1
"176" -2885.911 -4041.4295 0
"177" -2885.12745 -4037.71 0
"178" -2879.23905 -4005.4685 0
"179" -2898.875 -4017.9705 1
"180" -2894.8149 -4007.329 1
"181" -2889.376 -3997.081 1
"182" -2885.18775 -4035.8915 1
"183" -2884.4042 -4032.172 1
"184" -2878.5158 -3999.9305 0
"185" -2875.2557 -3934.477 1
"186" -2879.9037 -4046.395 1
"187" -2879.12015 -4042.6755 1
"188" -2866.2434 -3939.4095 1
"189" -2865.04265 -3940.099 1
"190" -2862.72705 -3966.4135 1
"191" -2856.8461 -3949.136 1
"192" -2853.0724 -3931.0045 1
"193" -2846.19735 -3931.036 1
"194" -2837.18505 -3935.9685 0
"195" -2858.57725 -3948.2475 1
"196" -2829.5189 -3944.8065 0
"197" -2826.70835 -3956.0205 0
"198" -2824.405 -3943.212 0
"199" -2845.7814 -4019.1585 1
"200" -2842.86255 -4015.9585 1
"201" -2839.33585 -4026.005 1
"202" -2838.6126 -4020.467 1
"203" -2833.32855 -4030.9705 0
"204" -2822.82385 -3986.95 1
"205" -2845.9513 -4013.7745 1
"206" -2843.03245 -4010.5745 1
"207" -2839.50575 -4020.621 1
"208" -2838.7825 -4015.083 1
"209" -2833.49845 -4025.5865 1
"210" -2822.99375 -3981.566 1
"211" -2841.1204 -3908.496 1
"212" -2834.24535 -3908.5275 1
"213" -2828.7597 -3891.6115 1
"214" -2825.23305 -3913.46 0
"215" -2823.34055 -3893.01 1
"216" -2819.47515 -3891.655 1
"217" -2817.5669 -3922.298 0
"218" -2814.75635 -3933.512 1
"219" -2812.453 -3920.7035 0
"220" -2841.21005 -3914.828 1
"221" -2834.335 -3914.8595 1
"222" -2828.84935 -3897.9435 1
"223" -2825.3227 -3919.792 0
"224" -2823.4302 -3899.342 1
"225" -2819.5648 -3897.987 1
"226" -2817.65655 -3928.63 0
"227" -2814.846 -3939.844 1
"228" -2812.54265 -3927.0355 0
"229" -2839.89735 -3905.7745 1
"230" -2833.0223 -3905.806 1
"231" -2827.53665 -3888.89 1
"232" -2824.01 -3910.7385 0
"233" -2822.1175 -3890.2885 1
"234" -2818.2521 -3888.9335 1
"235" -2816.34385 -3919.5765 0
"236" -2813.5333 -3930.7905 1
"237" -2811.22995 -3917.982 0
"238" -2839.27985 -4019.9365 1
"239" -2835.75315 -4029.983 1
"240" -2835.0299 -4024.445 1
"241" -2829.74585 -4034.9485 1
"242" -2830.97865 -4032.2645 1
"243" -2830.2554 -4026.7265 1
"244" -2824.97135 -4037.23 1
"245" -2814.2348 -3958.812 0
"246" -2802.2828 -3936.3035 1
"247" -2802.37245 -3942.6355 0
"248" -2801.05975 -3933.582 1
"249" -2803.0654 -3898.5585 0
"250" -2803.15505 -3904.8905 0
"251" -2801.84235 -3895.837 0
"252" -2811.2487 -3954.476 0
"253" -2799.2967 -3931.9675 1
"254" -2799.38635 -3938.2995 0
"255" -2798.07365 -3929.246 1
"256" -2819.0568 -4042.8265 1
"257" -2805.9943 -3944.0235 1
"258" -2794.0423 -3921.515 0
"259" -2794.13195 -3927.847 0
"260" -2792.81925 -3918.7935 0
"261" -2921.58265 -3992.444 0
"262" -2917.26925 -4000.7165 0
"263" -2917.45225 -3963.99 0
"264" -2909.79425 -3994.82 0
"265" -2910.518 -4000.826 0
"266" -2906.67035 -3991.9625 0
"267" -2900.29295 -3972.394 0
"268" -2897.99785 -3992.988 0
"269" -2894.19215 -4001.1615 1
"270" -2891.2733 -3997.9615 1
"271" -2887.7466 -4008.008 1
"272" -2887.02335 -4002.47 1
"273" -2919.4133 -3987.6705 0
"274" -2915.0999 -3995.943 1
"275" -2915.2829 -3959.2165 0
"276" -2907.6249 -3990.0465 0
"277" -2908.34865 -3996.0525 0
"278" -2904.501 -3987.189 0
"279" -2898.1236 -3967.6205 0
"280" -2895.8285 -3988.2145 0
"281" -2892.0228 -3996.388 1
"282" -2889.10395 -3993.188 1
"283" -2885.57725 -4003.2345 1
"284" -2884.854 -3997.6965 1
"285" -2915.4683 -3984.292 1
"286" -2911.1549 -3992.5645 1
"287" -2911.3379 -3955.838 0
"288" -2903.6799 -3986.668 0
"289" -2904.40365 -3992.674 1
"290" -2900.556 -3983.8105 0
"291" -2894.1786 -3964.242 0
"292" -2891.8835 -3984.836 1
"293" -2888.0778 -3993.0095 0
"294" -2885.15895 -3989.8095 1
"295" -2880.909 -3994.318 1
"296" -2865.12025 -3960.801 1
"297" -2907.6748 -4023.91 1
"298" -2903.6147 -4013.2685 1
"299" -2898.1758 -4003.0205 1
"300" -2893.98755 -4041.831 0
"301" -2893.204 -4038.1115 0
"302" -2887.3156 -4005.87 0
"303" -2895.82315 -4008.4095 0
"304" -2893.6538 -4003.636 1
