"X" "Y" "typename"
"144" 1187.7 571.01 "Interneuron"
"145" 832.9 571.83 "Neuroblast"
"146" 720.13 579.23 "Interneuron"
"147" 541.19 579.1 "Interneuron"
"148" 633.3 601.54 "Neuroblast"
"149" 712.78 619.72 "Interneuron"
"150" 821.55 636.48 "Neuroblast"
"151" 467.35 652.1 "Endothelial"
"152" 692.31 678.49 "Microglia"
"153" 416.75 681.68 "Interneuron"
"154" 749.8 686.12 "Interneuron"
"155" 843.91 707.2 "Interneuron"
"156" 825.16 756.42 "Interneuron"
"157" 730.18 757.95 "Astrocytes"
"158" 784.63 797.41 "Olfactoryensheathingcells"
"159" 1952.6 856.54 "Neuroblast"
"160" 1519.8 954.62 "Microglia"
"161" 1517.1 1020 "Interneuron"
"162" 1473.3 1067.1 "Interneuron"
"163" 1507.2 1148.3 "Endothelial"
"164" 308.04 1416.4 "Olfactoryensheathingcells"
"165" 372.91 1432.3 "Olfactoryensheathingcells"
"166" 431.72 1431.5 "Olfactoryensheathingcells"
"167" 295.06 1452.4 "Pia"
"168" 1685.3 1485.3 "Pia"
"169" 1259.5 1543.9 "Olfactoryensheathingcells"
"170" 595.25 1821.3 "Astrocytes"
"171" 528.65 1867.3 "Interneuron"
"172" 524.54 1915.4 "Interneuron"
"173" 1240.6 68.631 "Astrocytes"
"174" 585.95 81.709 "Astrocytes"
"175" 1270.3 135.75 "Astrocytes"
"176" 760.47 256.24 "Endothelial"
"177" 1333.8 266.78 "Oligodendrocytes"
"178" 273.8 337.38 "Interneuron"
"179" 1047 391.65 "Interneuron"
"180" 509.65 392.9 "Interneuron"
"181" 1191.9 399.43 "Astrocytes"
"182" 1112.3 417.79 "Microglia"
"183" 1220.5 492.96 "Microglia"
"184" 1278.5 514.4 "Astrocytes"
"185" 1333.3 512.95 "Interneuron"
"186" 377.78 570.45 "Interneuron"
"187" 1275.5 574.39 "Interneuron"
"188" 1376 591.67 "Mitral/Tuftedcells"
"189" 1233.5 655.21 "Interneuron"
"190" 357.49 688.03 "Astrocytes"
"191" 1327.2 700.66 "Neuroblast"
"192" 347.96 737.63 "Interneuron"
"193" 1223.8 753.77 "Astrocytes"
"194" 1709.3 840.12 "Interneuron"
"195" 1788.4 845.04 "Interneuron"
"196" 989.11 866.15 "Astrocytes"
"197" 1874 867.41 "Endothelial"
"198" 1189.1 874.66 "Astrocytes"
"199" 1109.2 891.51 "Interneuron"
"200" 1677.7 907.61 "Interneuron"
"201" 1742.7 922.65 "Interneuron"
"202" 1816 938.45 "Endothelial"
"203" 1948.1 949.84 "Interneuron"
"204" 1618 969.93 "Endothelial"
"205" 1232.4 993.05 "Endothelial"
"206" 1878.3 1002.3 "Interneuron"
"207" 697.27 1008 "Olfactoryensheathingcells"
"208" 1743.3 1015.2 "Astrocytes"
"209" 837.86 1027.4 "Interneuron"
"210" 1936 1031.9 "Astrocytes"
"211" 1987 1083.2 "Neuroblast"
"212" 728.13 1078.1 "Olfactoryensheathingcells"
"213" 776.14 1096.6 "Olfactoryensheathingcells"
"214" 1133.1 1105 "Olfactoryensheathingcells"
"215" 1244.1 1109 "Olfactoryensheathingcells"
"216" 1381.6 1109.1 "Olfactoryensheathingcells"
"217" 821.14 1110.5 "Olfactoryensheathingcells"
"218" 905.56 1114.6 "Olfactoryensheathingcells"
"219" 767.05 1173.4 "Olfactoryensheathingcells"
"220" 566.05 1179.9 "Olfactoryensheathingcells"
"221" 1890.9 1302.5 "Interneuron"
"222" 1435.9 1406.7 "Microglia"
"223" 1550.4 1411.3 "Endothelial"
"224" 1374.9 1427.3 "Endothelial"
"225" 1304 1471.9 "Pia"
"226" 1464 1474.8 "Pia"
"227" 1213.2 1501.3 "Endothelial"
"228" 1381.5 1533.6 "Endothelial"
"229" 984.46 1538.3 "Olfactoryensheathingcells"
"230" 1090.6 1549.7 "Olfactoryensheathingcells"
"231" 1393.2 1576.4 "Endothelial"
"232" 1021.8 1592.9 "Olfactoryensheathingcells"
"233" 612.42 1595.5 "Pia"
"234" 801.18 1617.7 "Astrocytes"
"235" 528.12 1626.1 "Pia"
"236" 903.75 1642.1 "Olfactoryensheathingcells"
"237" 374.4 1649.4 "Pia"
"238" 609.79 1650.2 "Olfactoryensheathingcells"
"239" 672.42 1659.4 "Olfactoryensheathingcells"
"240" 1035.4 1658.3 "Interneuron"
"241" 451.93 1680 "Olfactoryensheathingcells"
"242" 1289.6 1678.1 "Interneuron"
"243" 599.05 1681.6 "Olfactoryensheathingcells"
"244" 299.47 1713 "Olfactoryensheathingcells"
"245" 1352.1 1713.1 "Interneuron"
"246" 392.68 1726.8 "Olfactoryensheathingcells"
"247" 956.26 1735.2 "Interneuron"
"248" 1313.6 1767.3 "Olfactoryensheathingcells"
"249" 488.34 1826.1 "Interneuron"
"250" 684.25 1842.8 "Interneuron"
"251" 871.83 1902.5 "Interneuron"
"252" 1724.1 583.91 "Mitral/Tuftedcells"
