"ligand_gene_symbol" "receptor_gene_symbol"
"796" "Apob" "Lrp2"
"797" "Apob" "Scarb1"
"798" "Apob" "Apobr"
"799" "Apob" "Lrp1"
"800" "Apob" "Tlr4"
"801" "Apob" "Mttp"
"802" "Apob" "Cd36"
"803" "Wnt4" "Musk"
"804" "Wnt4" "Fzd2"
"805" "Wnt4" "Fzd1"
"806" "Wnt4" "Fzd10"
"807" "Wnt4" "Fzd8"
"808" "Wnt4" "Fzd5"
"809" "Wnt4" "Fzd4"
"810" "Wnt4" "Fzd7"
"811" "Fgg" "Itga2b"
"812" "Galp" "Galr1"
"813" "Galp" "Galr2"
"814" "Fgf2" "Fgfr2"
"815" "Fgf2" "Fgfr1"
"816" "Fgf2" "Sdc3"
"817" "Fgf2" "Ptprz1"
"818" "Fgf2" "Fgfr3"
"819" "Csf3" "Csf3r"
"820" "Bmp8a" "Acvr2b"
"821" "Bmp8a" "Acvr2a"
"822" "Bmp8a" "Tgfbr2"
"823" "Bmp8a" "Bmpr2"
"824" "Gdf7" "Acvr2a"
"825" "Gdf7" "Bmpr2"
"826" "Serpine1" "Lrp1b"
"827" "Serpine1" "Lrp2"
"828" "Serpine1" "Lrp1"
"829" "Serpine1" "Vldlr"
"830" "Ccl5" "Gpr75"
"831" "Ccl5" "Ccr4"
"832" "Ccl5" "Ccrl2"
"833" "Ccl5" "Ccr5"
"834" "Ccl5" "Ackr1"
"835" "Ccl5" "Ackr2"
"836" "Ccl5" "Ackr4"
"837" "Nodal" "Acvr2b"
"838" "Nodal" "Acvr2a"
"839" "Npnt" "Itgb1"
"840" "Lman1" "Mcfd2"
"841" "Tnfsf10" "Tnfrsf11b"
"842" "Inha" "Acvr2a"
"843" "Tnfsf9" "Traf1"
"844" "Pth2" "Ramp1"
"845" "Mif" "Cd74"
"846" "Mif" "Cxcr2"
"847" "Mif" "Ackr3"
"848" "Mif" "Cxcr4"
"849" "Spon1" "Lrp8"
"850" "Lefty1" "Acvr1"
"851" "Lefty1" "Acvr2b"
"852" "Lefty1" "Acvr2a"
"853" "Sct" "Sctr"
"854" "Rspo4" "Lgr4"
"855" "Sema7a" "Itgb1"
"856" "Gng10" "Kcnj6"
"857" "Wnt8b" "Fzd10"
"858" "Wnt8b" "Ptk7"
"859" "Wnt8b" "Fzd7"
"860" "Amh" "Acvr1"
"861" "Il5" "Csf2rb"
"862" "Il5" "Il5ra"
"863" "Tgfb2" "Tgfbr2"
"864" "Iapp" "Ramp3"
"865" "Iapp" "Calcr"
"866" "Lama1" "Itgb1"
"867" "Lama1" "Itga2"
"868" "Lama1" "Itga1"
"869" "Lama1" "Itgb4"
"870" "Lama1" "Itga7"
"871" "Pmch" "Mchr1"
"872" "Crp" "Tlr4"
"873" "Thbs1" "Itga1"
"874" "Thbs1" "Vldlr"
"875" "Thbs1" "Itgb1"
"876" "Thbs1" "Ptprj"
"877" "Thbs1" "Cd47"
"878" "Thbs1" "Itga2"
"879" "Thbs1" "Cd36"
"880" "Inhbb" "Acvr2b"
"881" "Inhbb" "Acvr2a"
"882" "Clcf1" "Cntfr"
"883" "Clcf1" "Il6st"
"884" "Fgf1" "Fgfr1"
"885" "Fgf1" "Fgfr2"
"886" "Fgf1" "Fgfr3"
"887" "Apln" "Aplnr"
"888" "Grn" "Sort1"
"889" "Nrtn" "Sdc3"
"890" "Prl3a1" "Prlr"
"891" "Gc" "Lrp2"
"892" "Il17f" "Il17rc"
"893" "Cxcl10" "Cxcr4"
"894" "Cxcl10" "Cxcr3"
"895" "Prl3b1" "Prlr"
"896" "Chad" "Itgb1"
"897" "Chad" "Itga2"
"898" "Inhba" "Acvr2b"
"899" "Inhba" "Acvr2a"
"900" "S100b" "Fgfr1"
"901" "Gdf5" "Acvr1"
"902" "Gdf5" "Acvr2b"
"903" "Gdf5" "Acvr2a"
"904" "Gdf5" "Bmpr2"
"905" "C1qa" "Cd93"
"906" "Calm2" "Grm7"
"907" "Calm2" "Scn10a"
"908" "Calm2" "Cacna1c"
"909" "Calm2" "Trpc5"
"910" "Calm2" "Kcnq3"
"911" "Ctf1" "Il6st"
"912" "Ucn3" "Crhr1"
"913" "Efnb1" "Ephb2"
"914" "Efnb1" "Ephb4"
"915" "Efnb1" "Epha6"
"916" "Efnb1" "Ephb6"
"917" "Efnb1" "Epha5"
"918" "Rln3" "Rxfp2"
"919" "Rln3" "Rxfp4"
"920" "Rln3" "Rxfp1"
"921" "Rln3" "Rxfp3"
"922" "Col9a1" "Mag"
"923" "Nlgn2" "Nrxn1"
"924" "Nlgn2" "Nrxn3"
"925" "Nlgn2" "Nrxn2"
"926" "Il1f9" "Il1rap"
"927" "Il1f9" "Il1rl2"
"928" "Prl2c1" "Prlr"
"929" "Lcn2" "Lrp2"
"930" "Inhbe" "Acvr2b"
"931" "Inhbe" "Acvr2a"
"932" "Pnoc" "Oprl1"
"933" "Fn1" "Itgb1"
"934" "Fn1" "Itga2b"
"935" "Fn1" "Flrt2"
"936" "Fn1" "Col13a1"
"937" "Fbln1" "Itgb1"
"938" "Il18" "Il18r1"
"939" "Il18" "Il18bp"
"940" "Il27" "Il6st"
"941" "Qrfp" "Qrfpr"
"942" "Pcsk9" "Lrp8"
"943" "Pcsk9" "Aplp2"
"944" "Pcsk9" "Vldlr"
"945" "Pcsk9" "Sort1"
"946" "Arf6" "Pld1"
"947" "Il17c" "Il17re"
"948" "Dscam" "Dcc"
"949" "Igf1" "Insr"
"950" "Cd14" "Itga4"
"951" "Cd14" "Itgb1"
"952" "Cd14" "Tlr9"
"953" "Fgf4" "Fgfr1"
"954" "Fgf4" "Fgfr2"
"955" "Fgf4" "Fgfr3"
"956" "Gnai2" "Adra2b"
"957" "Gnai2" "Drd2"
"958" "Gnai2" "C5ar1"
"959" "Hcrt" "Hcrtr2"
"960" "Hcrt" "Hcrtr1"
"961" "Cd24a" "Selp"
"962" "Bdnf" "Ntrk2"
"963" "Bdnf" "Bex3"
"964" "Bdnf" "Sort1"
"965" "S100a1" "Ryr1"
"966" "Nxph3" "Nrxn2"
"967" "Nxph3" "Nrxn1"
"968" "Nxph3" "Nrxn3"
"969" "Ucn2" "Crhr1"
"970" "Crh" "Crhr1"
"971" "Fat4" "Dchs1"
"972" "Gdf6" "Acvr2a"
"973" "Gdf6" "Bmpr2"
"974" "Adam10" "Epha3"
"975" "Adam10" "Notch3"
"976" "Adam10" "Cadm1"
"977" "Artn" "Sdc3"
"978" "Adm2" "Calcrl"
"979" "Wnt5a" "Fzd2"
"980" "Wnt5a" "Fzd3"
"981" "Wnt5a" "Ryk"
"982" "Wnt5a" "Fzd5"
"983" "Wnt5a" "Fzd7"
"984" "Adam12" "Itgb1"
"985" "Adam12" "Epha1"
"986" "Amelx" "Cd63"
"987" "Nlgn3" "Nrxn1"
"988" "Nlgn3" "Nrxn3"
"989" "Nlgn3" "Nrxn2"
"990" "Agt" "Lrp2"
"991" "Agt" "Agtr1a"
"992" "Agt" "Agtr1b"
"993" "Agt" "Agtr2"
"994" "Agt" "Mas1"
"995" "Slit3" "Robo3"
"996" "Slit3" "Robo2"
"997" "Slit3" "Plxna1"
"998" "Lep" "Lrp2"
"999" "Adcyap1" "Adrb3"
"1000" "Adcyap1" "Ramp2"
"1001" "Lif" "Lifr"
"1002" "Lif" "Il6st"
"1003" "Rspo2" "Znrf3"
"1004" "Adam17" "Aplp2"
"1005" "Adam17" "Itgb1"
"1006" "Adam17" "Notch2"
"1007" "Adam17" "Ghr"
"1008" "Adam17" "Erbb4"
"1009" "Adam17" "Rhbdf2"
"1010" "Dmp1" "Phex"
"1011" "Sema5a" "Met"
"1012" "Sema5a" "Plxna1"
"1013" "Fgf7" "Fgfr1"
"1014" "Fgf7" "Fgfr2"
"1015" "Fgf7" "Fgfr3"
"1016" "Cthrc1" "Fzd3"
"1017" "Alkal2" "Alk"
"1018" "Tg" "Lrp2"
"1019" "Ntng1" "Lrrc4c"
"1020" "Prl7c1" "Prlr"
"1021" "Postn" "Itgb1"
"1022" "Cxcl12" "Itga4"
"1023" "Cxcl12" "Oprm1"
"1024" "Cxcl12" "Itgb1"
"1025" "Prl3d3" "Prlr"
"1026" "Nrg1" "Erbb3"
"1027" "Nrg1" "Erbb4"
"1028" "Sema3e" "Plxna1"
"1029" "Cxcl17" "Gpr35"
"1030" "Bmp4" "Bmpr2"
"1031" "Bmp4" "Musk"
"1032" "Nlgn1" "Nrxn1"
"1033" "Nlgn1" "Nrxn3"
"1034" "Nlgn1" "Nrxn2"
"1035" "Osm" "Lifr"
"1036" "Osm" "Il6st"
"1037" "Osm" "Il11ra1"
"1038" "Cxcl2" "Cxcr2"
"1039" "Jag2" "Notch2"
"1040" "Jag2" "Notch3"
"1041" "Pdgfa" "Pdgfra"
"1042" "Itgb1bp1" "Itgb1"
"1043" "Efna5" "Ephb2"
"1044" "Gnb5" "Kcnj6"
"1045" "Sftpd" "Sirpa"
"1046" "Gng8" "Kcnj6"
"1047" "Pth" "Ramp1"
"1048" "Gnas" "Ptgdr"
"1049" "Gnas" "Htr6"
"1050" "Sema3f" "Nrp2"
"1051" "Prl7b1" "Prlr"
"1052" "Prl3d2" "Prlr"
"1053" "Prl3d1" "Prlr"
"1054" "Adam9" "Itgb1"
"1055" "Hmgb1" "Thbd"
"1056" "Lefty2" "Acvr2b"
"1057" "Tnfsf18" "Tnfrsf18"
"1058" "Icam1" "Itgal"
"1059" "Icam1" "Ahr"
"1060" "Col4a4" "Itgb1"
"1061" "Col4a4" "Cd93"
"1062" "Col3a1" "Itgb1"
"1063" "Col3a1" "Mag"
"1064" "Col3a1" "Ddr2"
"1065" "Gng5" "Kcnj6"
"1066" "Sema3g" "Plxna4"
"1067" "Sema3g" "Nrp2"
"1068" "Prl6a1" "Prlr"
"1069" "Lama3" "Itgb4"
"1070" "Lama2" "Itgb4"
"1071" "Lama2" "Itga7"
"1072" "Ccl26" "Ccr2"
"1073" "Il11" "Il6st"
"1074" "Il11" "Il11ra1"
"1075" "Ccl21a" "Ccr7"
"1076" "Fgf14" "Fgfr2"
"1077" "Prl7a1" "Prlr"
"1078" "Gng3" "Kcnj6"
"1079" "Il22" "Il22ra1"
"1080" "Ccl21d" "Ccr7"
"1081" "Gng7" "Kcnj6"
"1082" "Prl2c3" "Prlr"
"1083" "Fyn" "Thy1"
"1084" "Fgf12" "Fgfr2"
"1085" "Selplg" "Cxcr2"
"1086" "Selplg" "Selp"
"1087" "Psen1" "Ephb2"
"1088" "Psen1" "Erbb4"
"1089" "Sema6d" "Plxna4"
"1090" "Sema6d" "Plxna1"
"1091" "Sema6d" "Kdr"
"1092" "Pla2g5" "Pla2r1"
"1093" "Sema3b" "Nrp2"
"1094" "Sema3b" "Plxna1"
"1095" "Fgf11" "Fgfr2"
"1096" "Gcg" "Glp1r"
"1097" "Btla" "Tnfrsf14"
"1098" "Rtn4" "Rtn4rl2"
"1099" "Nxph2" "Nrxn1"
"1100" "Prl2b1" "Prlr"
"1101" "Fgf3" "Fgfr2"
"1102" "Cd160" "Tnfrsf14"
"1103" "Sema6c" "Plxna1"
"1104" "Lgals9" "Clec7a"
"1105" "Apoc1" "Vldlr"
"1106" "Ntn1" "Robo3"
"1107" "Ntn1" "Dcc"
"1108" "Ntn1" "Unc5d"
"1109" "Wnt7b" "Fzd10"
"1110" "Wnt7b" "Fzd3"
"1111" "Wnt7b" "Fzd7"
"1112" "Vcan" "Selp"
"1113" "Calm1" "Kcnn4"
"1114" "Calm1" "Cacna1c"
"1115" "Calm1" "Grm4"
"1116" "Prl8a8" "Prlr"
"1117" "Prl8a6" "Prlr"
"1118" "Prl" "Prlr"
"1119" "Prl2c2" "Prlr"
"1120" "Cntf" "Il6st"
"1121" "Eda" "Eda2r"
"1122" "Nrg2" "Erbb4"
"1123" "Btc" "Erbb4"
"1124" "Lgals3" "Mag"
"1125" "Afdn" "Nrxn3"
"1126" "Reln" "Vldlr"
"1127" "Nxph1" "Nrxn1"
"1128" "Nxph1" "Nrxn3"
"1129" "Sytl3" "Nrxn1"
"1130" "Slit2" "Plxna1"
"1131" "Col9a3" "Mag"
"1132" "Wnt11" "Ryk"
"1133" "Cntn2" "Cntn1"
"1134" "L1cam" "Cntn1"
"1135" "Rtn4" "Ngfr"
"1136" "Ngf" "Ngfr"
"1137" "Nts" "Ngfr"
"1138" "Ntf3" "Ngfr"
"1139" "Bdnf" "Ngfr"
"1140" "Omg" "Ngfr"
"1141" "Ntf5" "Ngfr"
"1142" "App" "Ngfr"
"1143" "Il2" "Ngfr"
"1144" "Ccn1" "Itgb2"
"1145" "C3" "Itgb2"
"1146" "Jam3" "Itgb2"
"1147" "Fgg" "Itgb2"
"1148" "Bsg" "Itgb2"
"1149" "Fga" "Itgb2"
"1150" "Icam1" "Itgb2"
"1151" "Vcam1" "Itgb2"
"1152" "Spon2" "Itgb2"
"1153" "Mmp9" "Itgb2"
"1154" "Cd14" "Itgb2"
"1155" "Plau" "Itgb2"
"1156" "Plg" "Itgb2"
"1157" "Icam5" "Itgb2"
"1158" "Tln1" "Itgb2"
"1159" "Angpt2" "Itgb2"
"1160" "Icam2" "Itgb2"
"1161" "Hsp90b1" "Pparg"
"1162" "Bmp7" "Acvrl1"
"1163" "Tgfb1" "Acvrl1"
"1164" "Bmp10" "Acvrl1"
"1165" "Gdf2" "Acvrl1"
"1166" "Bmp15" "Acvr1b"
"1167" "Gdf9" "Acvr1b"
"1168" "Gdf3" "Acvr1b"
"1169" "Nodal" "Acvr1b"
"1170" "Inhba" "Acvr1b"
"1171" "Lefty1" "Acvr1b"
"1172" "Lefty2" "Acvr1b"
"1173" "Tdgf1" "Acvr1b"
"1174" "Mstn" "Acvr1b"
"1175" "Gdf11" "Acvr1b"
"1176" "Il23a" "Il12rb1"
"1177" "Il12a" "Il12rb1"
"1178" "Apob" "Lsr"
"1179" "Vcam1" "Itgb7"
"1180" "Madcam1" "Itgb7"
"1181" "Fn1" "Itgb7"
"1182" "Adam2" "Itgb7"
"1183" "Lamc2" "Itga3"
"1184" "Fn1" "Itga3"
"1185" "Reln" "Itga3"
"1186" "Thbs1" "Itga3"
"1187" "Lgals8" "Itga3"
"1188" "Lgals3" "Itga3"
"1189" "Ihh" "Smo"
"1190" "Shh" "Smo"
"1191" "Sema5a" "Plxnb3"
"1192" "Plau" "Plaur"
"1193" "Vtn" "Plaur"
"1194" "Serpine2" "Plaur"
"1195" "Srpx2" "Plaur"
"1196" "Plg" "Plaur"
"1197" "Serpine1" "Plaur"
"1198" "Ceacam1" "Plaur"
"1199" "Mmp12" "Plaur"
"1200" "Adam10" "Axl"
"1201" "Pros1" "Axl"
"1202" "Vegfa" "Axl"
"1203" "Gas6" "Axl"
"1204" "Hras" "Grin2d"
"1205" "Il17f" "Il17ra"
"1206" "Il17a" "Il17ra"
"1207" "Lama5" "Bcam"
"1208" "Eda" "Edar"
"1209" "Fn1" "Cd79a"
"1210" "Psen1" "Ncstn"
"1211" "App" "Ncstn"
"1212" "Ucn3" "Crhr2"
"1213" "Crh" "Crhr2"
"1214" "Ucn2" "Crhr2"
"1215" "Ucn" "Crhr2"
"1216" "Tslp" "Il7r"
"1217" "Il7" "Il7r"
"1218" "Sema3f" "Plxna3"
"1219" "Fyn" "Cd244a"
"1220" "Mmp9" "Cd44"
"1221" "Egf" "Cd44"
"1222" "Bsg" "Cd44"
"1223" "Vim" "Cd44"
"1224" "Mif" "Cd44"
"1225" "Hgf" "Cd44"
"1226" "Mmp7" "Cd44"
"1227" "Anxa2" "Cd44"
"1228" "Fgf1" "Cd44"
"1229" "Has2" "Cd44"
"1230" "Fgf2" "Cd44"
"1231" "Vcan" "Cd44"
"1232" "Spp1" "Cd44"
"1233" "Col1a2" "Cd44"
"1234" "Prg4" "Cd44"
"1235" "Fn1" "Cd44"
"1236" "Bgn" "Cd44"
"1237" "Fgf11" "Fgfr4"
"1238" "Fgf14" "Fgfr4"
"1239" "Fgf16" "Fgfr4"
"1240" "Fgf17" "Fgfr4"
"1241" "Fgf18" "Fgfr4"
"1242" "Fgf1" "Fgfr4"
"1243" "Fgf5" "Fgfr4"
"1244" "Fgf13" "Fgfr4"
"1245" "Fgf2" "Fgfr4"
"1246" "Fgf9" "Fgfr4"
"1247" "Fgf12" "Fgfr4"
"1248" "Fgf8" "Fgfr4"
"1249" "Fgf20" "Fgfr4"
"1250" "Fgf4" "Fgfr4"
"1251" "Fgf15" "Fgfr4"
"1252" "Il27" "Il27ra"
"1253" "Igf2" "Igf1r"
"1254" "Igf1" "Igf1r"
"1255" "Wnt3a" "Igf1r"
"1256" "Areg" "Igf1r"
"1257" "Gnai2" "Igf1r"
"1258" "Gpc3" "Igf1r"
"1259" "Adam10" "Fcer2a"
"1260" "Kitl" "Kit"
"1261" "Il33" "Kit"
"1262" "Fgf2" "Kit"
"1263" "Pthlh" "Pth1r"
"1264" "Pth" "Pth1r"
"1265" "Gnas" "Pth1r"
"1266" "Calm1" "Cnga2"
"1267" "Efnb1" "Ephb3"
"1268" "Epo" "Epor"
"1269" "Kitl" "Epor"
"1270" "Afdn" "Nectin4"
"1271" "Adam17" "Nectin4"
"1272" "Efna5" "Epha2"
"1273" "Efna1" "Epha2"
"1274" "Efna3" "Epha2"
"1275" "Efna4" "Epha2"
"1276" "Bmp15" "Tgfbr1"
"1277" "Gdf9" "Tgfbr1"
"1278" "Gdf11" "Tgfbr1"
"1279" "Tgfb2" "Tgfbr1"
"1280" "Bmp8a" "Tgfbr1"
"1281" "Mstn" "Tgfbr1"
"1282" "Tdgf1" "Tgfbr1"
"1283" "Bmp10" "Tgfbr1"
"1284" "Inhba" "Tgfbr1"
"1285" "Gdf3" "Tgfbr1"
"1286" "Egf" "Cav1"
"1287" "Bsg" "Cav1"
"1288" "Igfbp5" "Cav1"
"1289" "Gnai2" "Cav1"
"1290" "Hras" "Cav1"
"1291" "Clcf1" "Crlf1"
"1292" "Calm1" "Kcnq1"
"1293" "Calml3" "Kcnq1"
"1294" "Bmp10" "Eng"
"1295" "Tnfsf13" "Tnfrsf13b"
"1296" "Tnfsf13b" "Tnfrsf13b"
"1297" "Vip" "Vipr2"
"1298" "Sct" "Vipr2"
"1299" "Adcyap1" "Vipr2"
"1300" "Fgf8" "Fgfrl1"
"1301" "Fgf2" "Fgfrl1"
"1302" "Pros1" "Mertk"
"1303" "Gas6" "Mertk"
"1304" "Lgals3" "Mertk"
"1305" "Sema3c" "Plxnd1"
"1306" "Sema4a" "Plxnd1"
"1307" "Sema3e" "Plxnd1"
"1308" "Hmgb1" "Ager"
"1309" "S100a9" "Ager"
"1310" "Dll4" "Notch4"
"1311" "Dll3" "Notch4"
"1312" "Psen1" "Notch4"
"1313" "Jag1" "Notch4"
"1314" "Jag2" "Notch4"
"1315" "Il25" "Il17rb"
"1316" "Il17b" "Il17rb"
"1317" "Apoe" "Sdc4"
"1318" "Adam12" "Sdc4"
"1319" "Ptn" "Sdc4"
"1320" "Rspo3" "Sdc4"
"1321" "Ceacam1" "Sdc4"
"1322" "Tnc" "Sdc4"
"1323" "Cxcl10" "Sdc4"
"1324" "Tgm2" "Sdc4"
"1325" "Fgf2" "Sdc4"
"1326" "Htra2" "Cd40"
"1327" "Ltb" "Cd40"
"1328" "Lgals9" "Cd40"
"1329" "Tnf" "Cd40"
"1330" "Adam17" "Cd40"
"1331" "Cd40lg" "Cd40"
"1332" "Ntn1" "Adora2b"
"1333" "Ptpn6" "Cd22"
"1334" "St6gal1" "Cd22"
"1335" "Ptgs2" "Ptger1"
"1336" "Nmb" "Nmbr"
"1337" "Grp" "Nmbr"
"1338" "Ptpn6" "Ros1"
"1339" "Ptpn11" "Ros1"
"1340" "Il19" "Il20ra"
"1341" "Il24" "Il20ra"
"1342" "Il20" "Il20ra"
"1343" "Ifng" "Ifngr1"
"1344" "Tac1" "Tacr2"
"1345" "Tac2" "Tacr2"
"1346" "Npvf" "Npffr1"
"1347" "Npff" "Npffr1"
"1348" "Selplg" "Vsir"
"1349" "Cxcl12" "Avpr1a"
"1350" "Avp" "Avpr1a"
"1351" "Ang" "Egfr"
"1352" "Tnfsf12" "Egfr"
"1353" "Egf" "Egfr"
"1354" "Btc" "Egfr"
"1355" "Ereg" "Egfr"
"1356" "Spink1" "Egfr"
"1357" "Il6" "Egfr"
"1358" "Tnc" "Egfr"
"1359" "Hsp90aa1" "Egfr"
"1360" "Vcan" "Egfr"
"1361" "Postn" "Egfr"
"1362" "Efnb1" "Egfr"
"1363" "Hbegf" "Egfr"
"1364" "Osm" "Egfr"
"1365" "Areg" "Egfr"
"1366" "Nrg1" "Egfr"
"1367" "Lrig1" "Egfr"
"1368" "Tgfa" "Egfr"
"1369" "Epgn" "Egfr"
"1370" "Rspo1" "Lgr5"
"1371" "Rspo2" "Lgr5"
"1372" "Rspo3" "Lgr5"
"1373" "Rspo4" "Lgr5"
"1374" "Has2" "Hmmr"
"1375" "Pdgfc" "Flt4"
"1376" "Vegfd" "Flt4"
"1377" "Vegfc" "Flt4"
"1378" "Agtrap" "Rack1"
"1379" "Dkk3" "Kremen1"
"1380" "Dkk4" "Kremen1"
"1381" "Dkk1" "Kremen1"
"1382" "Lgals9" "Havcr2"
"1383" "Hmgb1" "Havcr2"
"1384" "Lypd3" "Agr2"
"1385" "Apoe" "Sdc1"
"1386" "Ptn" "Sdc1"
"1387" "Thbs1" "Sdc1"
"1388" "Fgf2" "Sdc1"
"1389" "Sema6d" "Nrcam"
"1390" "Vwf" "Itgb3"
"1391" "Angptl3" "Itgb3"
"1392" "Cx3cl1" "Itgb3"
"1393" "Hmgb1" "Itgb3"
"1394" "Cxcl12" "Itgb3"
"1395" "Fga" "Itgb3"
"1396" "Tnc" "Itgb3"
"1397" "Fgf2" "Itgb3"
"1398" "L1cam" "Itgb3"
"1399" "Postn" "Itgb3"
"1400" "Spp1" "Itgb3"
"1401" "Vegfa" "Itgb3"
"1402" "Igf1" "Itgb3"
"1403" "Reln" "Itgb3"
"1404" "Thbs1" "Itgb3"
"1405" "Mfge8" "Itgb3"
"1406" "Lgals3" "Itgb3"
"1407" "Mmp2" "Itgb3"
"1408" "Calm1" "Scn4a"
"1409" "Calm2" "Scn4a"
"1410" "Cd40lg" "Traf3"
"1411" "S100a1" "Ryr2"
"1412" "Gdf5" "Ror2"
"1413" "Wnt5a" "Ror2"
"1414" "Ihh" "Ptch1"
"1415" "F2" "F2rl2"
"1416" "F7" "F2rl1"
"1417" "F2" "F2rl1"
"1418" "Tnfsf10" "Tnfrsf10b"
"1419" "Fadd" "Tnfrsf10b"
"1420" "Nrtn" "Gfra2"
"1421" "Gdnf" "Gfra2"
"1422" "Artn" "Gfra2"
"1423" "Osm" "Osmr"
"1424" "Il31" "Osmr"
"1425" "Vegfa" "Sdc2"
"1426" "Ptn" "Sdc2"
"1427" "Hgf" "Sdc2"
"1428" "Fgf2" "Sdc2"
"1429" "Mmp2" "Sdc2"
"1430" "Cthrc1" "Fzd6"
"1431" "Wnt4" "Fzd6"
"1432" "Wnt5a" "Fzd6"
"1433" "Wnt10b" "Fzd6"
"1434" "Wnt1" "Fzd6"
"1435" "Calm1" "Adcy8"
"1436" "Calm2" "Adcy8"
"1437" "Nptx2" "Nptxr"
"1438" "Nptx1" "Nptxr"
"1439" "Angptl3" "Itga5"
"1440" "Cxcl12" "Itga5"
"1441" "Fga" "Itga5"
"1442" "Fgg" "Itga5"
"1443" "Fgb" "Itga5"
"1444" "L1cam" "Itga5"
"1445" "Postn" "Itga5"
"1446" "Fn1" "Itga5"
"1447" "Reln" "Itga5"
"1448" "Adam17" "Itga5"
"1449" "Thbs1" "Itga5"
"1450" "Angpt2" "Itga5"
"1451" "Tnfsf13b" "Tnfrsf17"
"1452" "Angptl8" "Gpihbp1"
"1453" "Apoc3" "Gpihbp1"
"1454" "Cd6" "Alcam"
"1455" "S100b" "Alcam"
"1456" "Afdn" "Nectin3"
"1457" "Trf" "Tfrc"
"1458" "Calm1" "Mylk"
"1459" "Calm2" "Mylk"
"1460" "Slit3" "Robo1"
"1461" "Slit2" "Robo1"
"1462" "Slit1" "Robo1"
"1463" "Ifng" "Ifngr2"
"1464" "Ifnb1" "Ifnar1"
"1465" "Ucn2" "Il10rb"
"1466" "Ucn3" "Il10rb"
"1467" "Ifnb1" "Ifnar2"
"1468" "Amh" "Amhr2"
"1469" "Wnt7b" "Celsr3"
"1470" "Wnt7a" "Celsr3"
"1471" "Igf2" "Igf2r"
"1472" "Tnfsf12" "Tnfrsf12a"
"1473" "Sema6d" "Trem2"
"1474" "Apoe" "Trem2"
"1475" "Lhb" "Lhcgr"
"1476" "Gnai2" "Lhcgr"
"1477" "Gnas" "Lhcgr"
"1478" "Nrtn" "Gfra3"
"1479" "Artn" "Gfra3"
"1480" "Pdgfa" "Pdgfrb"
"1481" "Pdgfc" "Pdgfrb"
"1482" "Pdgfd" "Pdgfrb"
"1483" "Mfge8" "Pdgfrb"
"1484" "Csf3" "Csf1r"
"1485" "Il34" "Csf1r"
"1486" "Calm1" "Fas"
"1487" "Fadd" "Fas"
"1488" "Wnt7b" "Lrp5"
"1489" "Apoe" "Lrp5"
"1490" "Wnt7a" "Lrp5"
"1491" "Tdgf1" "Lrp5"
"1492" "Wnt5a" "Lrp5"
"1493" "Nrtn" "Gfra1"
"1494" "Artn" "Gfra1"
"1495" "Gnas" "Gcgr"
"1496" "Gcg" "Gcgr"
"1497" "Thbs1" "Itgb8"
"1498" "Calm1" "Mip"
"1499" "Alox5ap" "Alox5"
"1500" "S100a8" "Ly96"
"1501" "Cd14" "Ly96"
"1502" "Sftpd" "Ly96"
"1503" "Hmgb1" "Ly96"
"1504" "Pf4" "Ccr1"
"1505" "Ccl5" "Ccr1"
"1506" "Sema3d" "Nrp1"
"1507" "Sema3c" "Nrp1"
"1508" "Vegfa" "Nrp1"
"1509" "Sema3a" "Nrp1"
"1510" "Egf" "Nrp1"
"1511" "Fgf7" "Nrp1"
"1512" "Sema3b" "Nrp1"
"1513" "Ptn" "Nrp1"
"1514" "Hgf" "Nrp1"
"1515" "Cntn2" "Nrp1"
"1516" "Sema4a" "Nrp1"
"1517" "Fgf4" "Nrp1"
"1518" "Sema3e" "Nrp1"
"1519" "Fgf1" "Nrp1"
"1520" "Sema3f" "Nrp1"
"1521" "Fgf2" "Nrp1"
"1522" "L1cam" "Nrp1"
"1523" "Adam10" "Tspan17"
"1524" "Ntn1" "Unc5a"
"1525" "Pdyn" "Oprk1"
"1526" "Pth" "Pth2r"
"1527" "Pth2" "Pth2r"
"1528" "Cp" "Slc40a1"
"1529" "Cd86" "Cd28"
"1530" "Icosl" "Cd28"
"1531" "Il18" "Il18rap"
"1532" "Il1b" "Il1r1"
"1533" "Il1a" "Il1r1"
"1534" "Il1rn" "Il1r1"
"1535" "Il1b" "Il1r2"
"1536" "Il1a" "Il1r2"
"1537" "Il1rn" "Il1r2"
"1538" "Nms" "Nmur1"
"1539" "Nmu" "Nmur1"
"1540" "Efna5" "Epha4"
"1541" "Efna1" "Epha4"
"1542" "Efnb1" "Epha4"
"1543" "Efna3" "Epha4"
"1544" "Efna4" "Epha4"
"1545" "Pdcd1lg2" "Pdcd1"
"1546" "Cd14" "Cd55"
"1547" "Psap" "Gpr37l1"
"1548" "Avp" "Avpr1b"
"1549" "Podxl2" "Sell"
"1550" "Selplg" "Sell"
"1551" "Calm1" "Sell"
"1552" "Cfh" "Sell"
"1553" "Bsg" "Sele"
"1554" "Selplg" "Sele"
"1555" "Sema3a" "Plxna2"
"1556" "Spp1" "Itga8"
"1557" "Npnt" "Itga8"
"1558" "Tnc" "Itga8"
"1559" "Il15" "Il2ra"
"1560" "Il2" "Il2ra"
"1561" "Tdgf1" "Acvr1c"
"1562" "Inhba" "Acvr1c"
"1563" "Nodal" "Acvr1c"
