"ligand_gene_symbol" "receptor_gene_symbol"
"187" "App" "Lrp6"
"188" "App" "Cav1"
"189" "App" "Sorl1"
"190" "App" "Drd3"
"191" "Agrp" "Mc5r"
"192" "Agrp" "Mc3r"
"193" "Agrp" "Sdc3"
"194" "Tnfsf14" "Ltbr"
"195" "Tnfsf14" "Fas"
"196" "Tnfsf14" "Tnfrsf14"
"197" "Trh" "Trhr"
"198" "Prl7a2" "Prlr"
"199" "Prl8a9" "Prlr"
"200" "Prl8a1" "Prlr"
"201" "Wnt10a" "Fzd10"
"202" "Bmp7" "Acvr1"
"203" "Bmp7" "Acvr2b"
"204" "Bmp7" "Bmpr1b"
"205" "Bmp7" "Acvr2a"
"206" "Bmp7" "Bmpr2"
"207" "Bmp7" "Bmpr1a"
"208" "Ccl8" "Ccr1"
"209" "Ccl8" "Ccr8"
"210" "Ccl8" "Ccr2"
"211" "Ccl8" "Ccr5"
"212" "Ccl8" "Ccr3"
"213" "Rarres2" "Ccrl2"
"214" "Timp1" "Cd63"
"215" "Timp1" "Itgb1"
"216" "Timp1" "Lrp1"
"217" "Wnt3a" "Fzd2"
"218" "Wnt3a" "Fzd3"
"219" "Wnt3a" "Fzd8"
"220" "Wnt3a" "Ptk7"
"221" "Wnt3a" "Fzd6"
"222" "Wnt3a" "Lrp5"
"223" "Wnt3a" "Apcdd1"
"224" "Wnt3a" "Fzd1"
"225" "Wnt3a" "Lrp6"
"226" "Wnt3a" "Fzd5"
"227" "Wnt3a" "Fzd4"
"228" "Wnt3a" "Fzd7"
"229" "Psen2" "Notch2"
"230" "Wnt2" "Fzd2"
"231" "Wnt2" "Fzd9"
"232" "Wnt2" "Fzd3"
"233" "Wnt2" "Fzd8"
"234" "Wnt2" "Lrp5"
"235" "Wnt2" "Fzd1"
"236" "Wnt2" "Fzd5"
"237" "Wnt2" "Fzd4"
"238" "Wnt2" "Fzd7"
"239" "Bmp5" "Bmpr1b"
"240" "Bmp5" "Bmpr2"
"241" "Bmp5" "Bmpr1a"
"242" "Wnt8a" "Fzd1"
"243" "Wnt8a" "Ptk7"
"244" "Wnt8a" "Lrp6"
"245" "Wnt8a" "Fzd5"
"246" "Wnt8a" "Fzd4"
"247" "Wnt8a" "Fzd7"
"248" "Plg" "Lrp2"
"249" "Plg" "Plgrkt"
"250" "Plg" "Igf2r"
"251" "Csf1" "Csf1r"
"252" "Csf1" "Flt4"
"253" "Ceacam16" "Tectb"
"254" "Ceacam16" "Tecta"
"255" "Dll1" "Notch4"
"256" "Dll1" "Notch2"
"257" "Dll1" "Notch1"
"258" "Dll1" "Notch3"
"259" "Mmp13" "Lrp1"
"260" "Lama5" "Itgb4"
"261" "Hspa8" "Aqp2"
"262" "Cd34" "Sell"
"263" "Cd274" "Pdcd1"
"264" "Cd274" "Cd80"
"265" "Lnx2" "Cd8a"
"266" "Lnx2" "Cxadr"
"267" "Il10" "Il10ra"
"268" "Il10" "Il10rb"
"269" "Prl5a1" "Prlr"
"270" "Pyy" "Npy5r"
"271" "Pyy" "Npy1r"
"272" "Pyy" "Dpp4"
"273" "Ppy" "Npy2r"
"274" "Vtn" "Itgb5"
"275" "Vtn" "Itgav"
"276" "Vtn" "Itga8"
"277" "Igfbp4" "Lrp6"
"278" "Ada" "Adora2b"
"279" "Ada" "Dpp4"
"280" "Ada" "Adora1"
"281" "Mmp9" "Ephb2"
"282" "Mmp9" "Tlr9"
"283" "Mmp9" "Lrp1"
"284" "Mmp9" "Tlr4"
"285" "Prl3c1" "Prlr"
"286" "Mfng" "Notch1"
"287" "Gdf9" "Bmpr1b"
"288" "Gdf9" "Acvr2a"
"289" "Gdf9" "Bmpr2"
"290" "Gdf9" "Acvr1c"
"291" "Gdf9" "Bmpr1a"
"292" "Wnt9b" "Lrp5"
"293" "Wnt9b" "Lrp6"
"294" "Wnt9b" "Fzd5"
"295" "Tnfsf13" "Tnfrsf17"
"296" "Il3" "Il2ra"
"297" "Il3" "Il4ra"
"298" "Il3" "Csf2rb2"
"299" "Il3" "Il3ra"
"300" "Csf2" "Csf2rb"
"301" "Csf2" "Csf2ra"
"302" "Csf2" "Sdc2"
"303" "Csf2" "Csf1r"
"304" "Csf2" "Csf3r"
"305" "Cxcl16" "Cxcr6"
"306" "Ccl6" "Ccr1"
"307" "Ccl4" "Ccr1"
"308" "Ccl4" "Ccr8"
"309" "Ccl4" "Ccr5"
"310" "Ccl4" "Ackr2"
"311" "Ccl4" "Ccr3"
"312" "Ccl9" "Ccr1"
"313" "Calm3" "Grm7"
"314" "Calm3" "Scn10a"
"315" "Calm3" "Scn4a"
"316" "Calm3" "Trpc5"
"317" "Calm3" "Kcnq3"
"318" "Calm3" "Adcy8"
"319" "Calm3" "Mylk"
"320" "Icam5" "Itgal"
"321" "Cd70" "Cd27"
"322" "Sema6a" "Plxna4"
"323" "Sema6a" "Plxna2"
"324" "Vip" "Npr3"
"325" "Vip" "Dpp4"
"326" "Vip" "Ramp2"
"327" "Vip" "Vipr1"
"328" "Vip" "Adcyap1r1"
"329" "Vip" "Ramp1"
"330" "Vip" "Ramp3"
"331" "Lama4" "Itgb1"
"332" "Nts" "Sort1"
"333" "Nts" "Ntsr1"
"334" "Nts" "Ntsr2"
"335" "Ccn2" "Egfr"
"336" "Ccn2" "Itga5"
