"X" "Y" "typename"
"Cell 122" 1518.6 367.08 "Excitatory layer 5/6"
"Cell 123" 1571.7 389.54 "Neural stem cell"
"Cell 124" 1191.2 404.88 "Neuroblast"
"Cell 125" 1237 405.36 "Neuroblast"
"Cell 126" 1494 425.43 "Neural stem cell"
"Cell 127" 1534.4 434.05 "Neural stem cell"
"Cell 128" 1436.6 441.98 "Neuroblast"
"Cell 129" 1193.7 455.84 "Excitatory layer 5/6"
"Cell 130" 1347 467.32 "Neuroblast"
"Cell 131" 1446.7 478.94 "Neuroblast"
"Cell 132" 1514.1 495.4 "Astrocytes"
"Cell 133" 1385.5 500 "Neuroblast"
"Cell 134" 1336.7 507.72 "Neuroblast"
"Cell 135" 1288.2 521.83 "Neuroblast"
"Cell 136" 1451.1 530.33 "Astrocytes"
"Cell 137" 1205 533.3 "Neural progenitors"
"Cell 138" 1296.7 550.37 "Neuroblast"
"Cell 139" 1325.8 561.68 "Ependymal"
"Cell 140" 1261.7 571.44 "Neural stem cell"
"Cell 141" 1280.9 600.11 "Neural stem cell"
"Cell 142" 1215.3 619.27 "Interneuron"
"Cell 143" 1068.6 629.86 "Microglia"
"Cell 144" 1256.2 646.6 "Ependymal"
"Cell 145" 1313.2 657.35 "Ependymal"
"Cell 146" 1192.1 656.44 "Ependymal"
"Cell 147" 1161.9 682.58 "Neuroblast"
"Cell 148" 987.56 686.98 "Neuroblast"
"Cell 149" 1117.1 696.32 "Neural stem cell"
"Cell 150" 1221.7 708.18 "Neuroblast"
"Cell 151" 1181.9 731.84 "Neural progenitors"
"Cell 152" 1277.6 737.05 "Ependymal"
"Cell 153" 1134.9 751.55 "Neural progenitors"
"Cell 154" 943.41 772.13 "Endothelial"
"Cell 155" 1197 780.63 "Neural progenitors"
"Cell 156" 465.62 790.69 "Neural progenitors"
"Cell 157" 555.58 788.12 "Interneuron"
"Cell 158" 1104.5 803.24 "Neuroblast"
"Cell 159" 1020 804.7 "Neuroblast"
"Cell 160" 926.48 815.14 "Endothelial"
"Cell 161" 1232.2 821.94 "unannotated"
"Cell 162" 601.2 823.12 "Neural stem cell"
"Cell 163" 1048.3 841.21 "Neuroblast"
"Cell 164" 691.21 846.47 "Neuroblast"
"Cell 165" 617.23 857.67 "Neuroblast"
"Cell 166" 1223 855.49 "Ependymal"
"Cell 167" 747.81 861.49 "Neuroblast"
"Cell 168" 969.54 868.85 "Neural progenitors"
"Cell 169" 1196.3 867.79 "Excitatory layer 3"
"Cell 170" 1166.2 884.25 "Neural stem cell"
"Cell 171" 671.17 881.72 "Neuroblast"
"Cell 172" 427.64 893.97 "Neural progenitors"
"Cell 173" 1333.4 894.12 "Ependymal"
"Cell 174" 765.03 900.44 "Neuroblast"
"Cell 175" 503.13 903.63 "Neuroblast"
"Cell 176" 1082.5 898.77 "Neural stem cell"
"Cell 177" 707.7 908 "Neuroblast"
"Cell 178" 1469.7 914.39 "Ependymal"
"Cell 179" 1531.2 918.7 "Ependymal"
"Cell 180" 1033.4 931.78 "Neuroblast"
"Cell 181" 551.75 931.78 "Neuroblast"
"Cell 182" 1396.7 930.3 "Excitatory layer 3"
"Cell 183" 1318.2 933.31 "Neural progenitors"
"Cell 184" 1583.8 941.25 "unannotated"
"Cell 185" 1125.1 947.05 "Neuroblast"
"Cell 186" 457.33 943.03 "Excitatory layer 5/6"
"Cell 187" 743.39 947.68 "Neuroblast"
"Cell 188" 1477.6 954.21 "Ependymal"
"Cell 189" 347.56 958.13 "Neural stem cell"
"Cell 190" 1194.7 955.89 "Ependymal"
"Cell 191" 684.86 964.57 "Neuroblast"
"Cell 192" 1632.8 962.99 "Ependymal"
"Cell 193" 524.04 968.91 "Neural progenitors"
"Cell 194" 1547.1 972.6 "Excitatory layer 5/6"
"Cell 195" 1599 974.21 "unannotated"
"Cell 196" 1038.8 983.53 "Neuroblast"
"Cell 197" 1753.9 982 "Excitatory layer 5/6"
"Cell 198" 1670.6 980.93 "Neural stem cell"
"Cell 199" 1701.5 988.16 "Neural stem cell"
"Cell 200" 1283.5 997.62 "Interneuron"
"Cell 201" 1084.1 1004.8 "Neural stem cell"
"Cell 202" 1725.6 1004.9 "Neural stem cell"
"Cell 203" 526.26 1017 "Neuroblast"
"Cell 204" 576.41 1018.5 "Neural progenitors"
"Cell 205" 1625.5 1016.6 "Neural stem cell"
"Cell 206" 1685.6 1020.6 "Neural stem cell"
"Cell 207" 1792.3 1026 "Ependymal"
"Cell 208" 1497 1036.7 "Neural stem cell"
"Cell 209" 1764.1 1035.3 "Neural progenitors"
"Cell 210" 405.72 1044.8 "Neuroblast"
"Cell 211" 1011.2 1048.8 "Microglia"
"Cell 212" 1451.9 1048.5 "Neuroblast"
"Cell 213" 452.61 1050.3 "Neural stem cell"
